comID,MolecularFormula,MolecularWeight,SMILES,IUPACName
CID174,C2H6O2,62.07,C(CO)O,"ethane-1,2-diol"
CID196,C6H10O4,146.14,C(CCC(=O)O)CC(=O)O,hexanedioic acid
CID262,C4H10O2,90.12,CC(C(C)O)O,"butane-2,3-diol"
CID273,C5H14N2,102.18,C(CCN)CCN,"pentane-1,5-diamine"
CID371,C4H2O4,114.06,C(#CC(=O)O)C(=O)O,but-2-ynedioic acid
CID428,C3H10N2,74.13,C(CN)CN,"propane-1,3-diamine"
CID602,C3H7NO2,89.09,CC(C(=O)O)N,DL-alanine
CID743,C5H8O4,132.11,C(CC(=O)O)CC(=O)O,pentanedioic acid
CID1017,C8H6O4,166.13,C1=CC=C(C(=C1)C(=O)O)C(=O)O,phthalic acid
CID1030,C3H8O2,76.09,CC(CO)O,"propane-1,2-diol"
CID1045,C4H12N2,88.15,C(CCN)CN,"butane-1,4-diamine"
CID1066,C7H5NO4,167.12,C1=CC(=C(N=C1)C(=O)O)C(=O)O,"pyridine-2,3-dicarboxylic acid"
CID1317,C10H24N2,172.31,C(CCCCCN)CCCCN,"decane-1,10-diamine"
CID2266,C9H16O4,188.22,C(CCCC(=O)O)CCCC(=O)O,nonanedioic acid
CID2286,C21H24O4,340.4,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,2-[[4-[2-[4-(oxiran-2-ylmethoxy)phenyl]propan-2-yl]phenoxy]methyl]oxirane
CID2365,C3H4O2,72.06,C1COC1=O,oxetan-2-one
CID2406,C12H6Cl4O2S,356,C1=C(C=C(C(=C1SC2=C(C(=CC(=C2)Cl)Cl)O)O)Cl)Cl,"2,4-dichloro-6-(3,5-dichloro-2-hydroxyphenyl)sulfanylphenol"
CID2568,C6H8O4,144.12,C1CC(C1)(C(=O)O)C(=O)O,"cyclobutane-1,1-dicarboxylic acid"
CID2955,C12H12N2O2S,248.3,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,4-(4-aminophenyl)sulfonylaniline
CID3037,C13H10Cl2O2,269.12,C1=CC(=C(C=C1Cl)CC2=C(C=CC(=C2)Cl)O)O,4-chloro-2-[(5-chloro-2-hydroxyphenyl)methyl]phenol
CID3301,C2H8N2,60.1,C(CN)N,"ethane-1,2-diamine"
CID4093,C4H6O2,86.09,CC(=C)C(=O)O,2-methylprop-2-enoic acid
CID4362,C6H7NO2,125.13,CCN1C(=O)C=CC1=O,"1-ethylpyrrole-2,5-dione"
CID4943,C12H18O,178.27,CC(C)C1=C(C(=CC=C1)C(C)C)O,"2,6-di(propan-2-yl)phenol"
